,link_id,x_vector,y_vector
20,20,"[1.0, 2.2352591788976017, 2.98126613629823, 3.5589710214744925, 3.910840868426569, 4.3176423552964165, 4.74229249608262, 4.982009339337916, 5.238501663812028, 5.37571017279439, 5.645620218540215, 5.891431059190499, 5.87497225032899, 6.053090021769615, 6.1860058100719035, 6.386171496302288, 6.705426635756834, 6.454066881581907, 6.611187891504958, 7.016372716904065, 7.022176274182179, 6.948793411888514, 7.307075541284564, 7.1581961740802065, 7.521819848389382]","[14.0, 14.286666666666664, 14.876000000000001, 15.042857142857144, 14.675555555555553, 15.376363636363637, 15.196923076923072, 15.47466666666667, 15.741176470588234, 15.907368421052627, 16.294285714285714, 16.786086956521736, 16.160000000000004, 16.760740740740736, 16.60965517241379, 16.805161290322584, 17.384242424242423, 17.125714285714285, 16.891891891891888, 17.615897435897438, 17.485365853658536, 17.627441860465115, 18.072, 17.564255319148938, 18.140000000000008]"
21,21,"[1.0, 1.8469536071943196, 2.3614220079766186, 2.6744395499335547, 2.9340387818242117, 3.19557079915061, 3.3028109284785847, 3.6048984660071937, 3.644903675369184, 3.879598935800019, 3.997920994497104, 3.9282485588801124, 4.103688907326651, 4.23937472235683, 4.06858712434231, 4.318270269004815, 4.345376128491236, 4.572210636205612, 4.691621879440338, 4.61710957543909, 4.545976641256854, 4.585691793096092, 4.636897495238264, 4.782622482620276, 4.770737123504999]","[7.8, 8.593333333333335, 8.695999999999998, 8.962857142857139, 9.068888888888885, 9.247272727272728, 9.51076923076923, 9.960000000000003, 9.835294117647056, 10.06, 10.449523809523809, 10.017391304347827, 10.5032, 10.368888888888886, 10.187586206896555, 10.651612903225812, 10.682424242424242, 10.696571428571428, 11.045405405405411, 10.710256410256406, 10.866341463414633, 10.73023255813953, 10.782222222222222, 11.183829787234044, 11.085306122448978]"
22,22,"[1.0, 1.9077094383085091, 2.3253432149019373, 2.7004419303347977, 2.878755414879351, 3.1754176014805036, 3.3617267964454673, 3.48075552524997, 3.609904443839006, 3.69464867595753, 3.8931921507639644, 3.9881862513737127, 4.155636637408189, 4.105774689104113, 4.292123821550444, 4.260020962901415, 4.185241804883048, 4.368488383879785, 4.28558020799464, 4.441339770522767, 4.368798777157059, 4.4551927775420825, 4.456011515006094, 4.470131462026873, 4.673167203989571]","[7.68, 8.419999999999998, 8.287999999999997, 8.96857142857143, 9.11111111111111, 9.376363636363637, 9.455384615384613, 9.636000000000001, 9.578823529411764, 9.623157894736844, 10.290476190476191, 10.000000000000002, 10.536800000000003, 10.41851851851852, 10.540689655172415, 10.501935483870968, 10.186060606060607, 10.598857142857142, 10.122702702702702, 10.766666666666667, 10.509756097560974, 10.553488372093023, 10.616888888888889, 10.654468085106382, 10.960408163265308]"
23,23,"[1.0, 2.2452009907839434, 2.982399216789898, 3.4567234217005605, 4.018938170448667, 4.39640027080172, 4.844315903719686, 4.94118971272637, 5.345484326106132, 5.422764715929877, 5.448171789233979, 5.899371624797847, 5.82950728698684, 6.0558486479976645, 6.075238245835843, 6.074711138550684, 6.5228172551495955, 6.41147086122617, 6.505069332786479, 6.710093825054369, 6.666859715727798, 6.735574141581106, 7.047680102947842, 7.069382368030384, 6.887884275276764]","[13.84, 14.42666666666667, 14.219999999999997, 14.642857142857144, 15.28888888888889, 15.390909090909087, 15.681538461538462, 15.718666666666667, 15.830588235294115, 15.990526315789475, 15.640000000000004, 16.626956521739135, 16.415999999999993, 16.678518518518523, 16.560689655172414, 16.463870967741933, 17.477575757575757, 16.70228571428572, 17.162162162162165, 17.170769230769228, 16.756585365853656, 16.626046511627905, 17.480000000000004, 17.437872340425532, 16.948979591836732]"
24,24,"[1.0, 2.2172760477396714, 2.901271110454541, 3.364215211145632, 3.9877855074764827, 4.127481819123525, 4.372815649207714, 4.367168732522789, 4.6343041799892575, 4.804659668774808, 4.766359933384041, 4.964222259167369, 5.119185713915847, 5.036270391905975, 5.217994140518989, 5.230986532220327, 5.26600949000717, 5.410949861669625, 5.402800534953131, 5.442840197171465, 5.368018679559477, 5.483282085777258, 5.40793787175467, 5.4787935840919655, 5.580182976531115]","[13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0]"
25,25,"[1.0, 1.9090639126954918, 2.265186510664329, 2.6080340330481495, 2.956171058771549, 3.2534174483295, 3.4955287150090215, 3.7585917964122086, 3.762213697612806, 4.040555282459911, 4.200987978282647, 4.326399541971112, 4.2744562656238845, 4.466814880670387, 4.516572372513055, 4.719159431034576, 4.679008936276814, 4.856417212928443, 5.036343266878738, 5.017947171534136, 5.278201187394481, 5.292297964217504, 5.486999803790194, 5.516275422081156, 5.435801070396712]","[7.9, 8.353333333333335, 8.78, 9.145714285714288, 9.646666666666667, 9.885454545454543, 10.515384615384612, 10.993333333333334, 10.838823529411764, 11.262105263157892, 11.60190476190476, 11.613043478260874, 11.240000000000002, 11.82222222222222, 11.724827586206896, 12.307741935483874, 12.41030303030303, 12.45028571428571, 12.975135135135142, 12.619999999999997, 13.378536585365852, 13.133488372093023, 13.71511111111111, 13.649787234042554, 13.571836734693873]"
26,26,"[1.0, 2.326184488714194, 3.245208470846232, 4.0771141805827655, 4.735594663245143, 5.1735737688227195, 5.676869419902171, 6.0825269877073245, 6.614264343266861, 7.0841375451446424, 7.5598983051854916, 7.65218107318222, 7.677307115082698, 8.063821182847851, 8.589778133746925, 8.905736287676998, 9.32819946148067, 9.568680391521742, 9.729686380689678, 9.863330337188618, 10.11126562777415, 10.574043985621405, 10.519744194232839, 11.010428901728678, 11.146955012898356]","[19.84, 20.400000000000002, 21.264000000000006, 21.328571428571426, 22.42, 22.823636363636364, 24.06153846153846, 23.608, 25.037647058823527, 26.05999999999999, 27.184761904761913, 27.37043478260869, 26.498399999999997, 27.33629629629629, 29.14758620689656, 29.97935483870968, 30.620000000000005, 31.168571428571422, 31.011891891891892, 30.856410256410246, 31.85268292682926, 33.20511627906976, 32.786666666666676, 34.11063829787235, 34.15061224489795]"
27,27,"[1.0, 1.2267698412698416, 1.2984226029388568, 1.305717200102212, 1.3181344430356623, 1.34690736938999, 1.3675095603922134, 1.365801651738909, 1.3587551669571496, 1.381025020842494, 1.3618231626632775, 1.3609696876909505, 1.3661899324570328, 1.3721087466862614, 1.3690857489170047, 1.354419431289265, 1.3686624824032305, 1.3773204308989884, 1.3868684829448652, 1.3775650481288313, 1.3765022583766338, 1.374803786720567, 1.378758058913645, 1.3830854161740178, 1.3769774661893144]","[2.7, 3.233333333333333, 3.247999999999999, 3.2571428571428567, 3.3422222222222224, 3.2218181818181812, 3.4815384615384617, 3.388, 3.3164705882352927, 3.3863157894736844, 3.3076190476190472, 3.293913043478261, 3.3368000000000007, 3.3725925925925924, 3.3110344827586213, 3.187096774193549, 3.2606060606060607, 3.3371428571428563, 3.4102702702702707, 3.276923076923077, 3.348292682926828, 3.307441860465116, 3.2742222222222224, 3.3476595744680844, 3.30530612244898]"
28,28,"[1.0, 2.138538311940823, 2.840682018099285, 3.516181328363628, 3.7541105802989434, 4.097657100504127, 4.508190892634146, 4.516776203325145, 4.55353533912481, 4.762751448720107, 4.923035135721502, 5.26526496063091, 5.136657574865889, 5.206191824657456, 5.298933179996016, 5.448840831910099, 5.503679198308512, 5.787839138831456, 5.776472348222373, 5.828335260902074, 6.0134036283302414, 5.912218063649418, 5.988727057137519, 6.170820599431278, 6.1406225654630235]","[11.84, 12.18666666666667, 12.376000000000001, 13.33142857142857, 12.877777777777778, 13.260000000000002, 13.643076923076919, 13.372000000000003, 13.554117647058822, 13.642105263157891, 13.842857142857147, 14.262608695652174, 13.814400000000001, 13.827407407407405, 14.055862068965519, 14.141290322580645, 14.269090909090908, 14.744571428571424, 14.63081081081081, 14.79025641025641, 15.012682926829267, 14.811162790697674, 14.81333333333333, 14.954042553191494, 15.20979591836735]"
29,29,"[1.0, 1.6927323819970883, 2.0120480026061185, 2.3762785410358966, 2.352236536474681, 2.7663264370777516, 2.7983464646223344, 2.9899498090373493, 2.857975892475834, 3.012471043645354, 3.1312603856983285, 3.248860321871658, 3.235667630740248, 3.297558420039917, 3.2107729735718866, 3.213848144065572, 3.386440764860383, 3.2981596981390777, 3.255758179159487, 3.4600717765152234, 3.3971876960589666, 3.5056039955979337, 3.4006640357428988, 3.3312513884246537, 3.3787605584062725]","[5.86, 6.653333333333333, 6.472000000000001, 7.1314285714285734, 6.846666666666667, 7.403636363636363, 7.524615384615384, 7.700000000000001, 7.251764705882354, 7.531578947368419, 7.805714285714288, 8.115652173913043, 7.941599999999998, 7.92074074074074, 7.73448275862069, 7.8741935483870975, 7.9787878787878785, 7.847428571428573, 7.6340540540540545, 8.133333333333331, 7.965853658536587, 8.320465116279067, 7.93377777777778, 7.686808510638298, 7.829387755102041]"
